frozenset(['doors_4']),frozenset(['buying_low']),0.25
frozenset(['buying_low']),frozenset(['doors_4']),0.25
frozenset(['maint_low']),frozenset(['persons_4']),0.33333333333333337
frozenset(['persons_4']),frozenset(['maint_low']),0.25
frozenset(['doors_3']),frozenset(['maint_low']),0.25
frozenset(['maint_low']),frozenset(['doors_3']),0.25
frozenset(['maint_med']),frozenset(['doors_5_more']),0.25
frozenset(['doors_5_more']),frozenset(['maint_med']),0.25
frozenset(['persons_4']),frozenset(['doors_4']),0.25
frozenset(['doors_4']),frozenset(['persons_4']),0.33333333333333337
frozenset(['doors_5_more']),frozenset(['lug_boot_med']),0.33333333333333337
frozenset(['lug_boot_med']),frozenset(['doors_5_more']),0.25
frozenset(['safety_high']),frozenset(['persons_2']),0.3333333333333333
frozenset(['persons_2']),frozenset(['safety_high']),0.3333333333333333
frozenset(['buying_high']),frozenset(['maint_vhigh']),0.25
frozenset(['maint_vhigh']),frozenset(['buying_high']),0.25
frozenset(['safety_low']),frozenset(['doors_4']),0.25
frozenset(['doors_4']),frozenset(['safety_low']),0.33333333333333337
frozenset(['maint_med']),frozenset(['persons_more']),0.33333333333333337
frozenset(['persons_more']),frozenset(['maint_med']),0.25
frozenset(['safety_low']),frozenset(['doors_5_more']),0.25
frozenset(['doors_5_more']),frozenset(['safety_low']),0.33333333333333337
frozenset(['doors_2']),frozenset(['persons_2']),0.33333333333333337
frozenset(['persons_2']),frozenset(['doors_2']),0.25
frozenset(['safety_low']),frozenset(['persons_more']),0.3333333333333333
frozenset(['persons_more']),frozenset(['safety_low']),0.3333333333333333
frozenset(['persons_2']),frozenset(['maint_low']),0.25
frozenset(['maint_low']),frozenset(['persons_2']),0.33333333333333337
frozenset(['buying_high']),frozenset(['persons_4']),0.33333333333333337
frozenset(['persons_4']),frozenset(['buying_high']),0.25
frozenset(['safety_high']),frozenset(['maint_low']),0.25
frozenset(['maint_low']),frozenset(['safety_high']),0.33333333333333337
frozenset(['doors_2']),frozenset(['buying_high']),0.25
frozenset(['buying_high']),frozenset(['doors_2']),0.25
frozenset(['maint_med']),frozenset(['safety_high']),0.33333333333333337
frozenset(['safety_high']),frozenset(['maint_med']),0.25
frozenset(['safety_med']),frozenset(['buying_med']),0.25
frozenset(['buying_med']),frozenset(['safety_med']),0.33333333333333337
frozenset(['doors_3']),frozenset(['persons_2']),0.33333333333333337
frozenset(['persons_2']),frozenset(['doors_3']),0.25
frozenset(['persons_4']),frozenset(['buying_med']),0.25
frozenset(['buying_med']),frozenset(['persons_4']),0.33333333333333337
frozenset(['safety_med']),frozenset(['persons_4']),0.3333333333333333
frozenset(['persons_4']),frozenset(['safety_med']),0.3333333333333333
frozenset(['safety_high']),frozenset(['persons_4']),0.3333333333333333
frozenset(['persons_4']),frozenset(['safety_high']),0.3333333333333333
frozenset(['doors_3']),frozenset(['buying_high']),0.25
frozenset(['buying_high']),frozenset(['doors_3']),0.25
frozenset(['class_acc']),frozenset(['buying_high']),0.28125
frozenset(['buying_high']),frozenset(['class_acc']),0.25
frozenset(['doors_3']),frozenset(['safety_high']),0.33333333333333337
frozenset(['safety_high']),frozenset(['doors_3']),0.25
frozenset(['safety_low']),frozenset(['maint_high']),0.25
frozenset(['maint_high']),frozenset(['safety_low']),0.33333333333333337
